# Devanagari

bnDDA 09A1
bnDDHA 09A2
bnNNA 09A3
bnTA 09A4
bnTHA 09A5
bnDA 09A6
bnDHA 09A7
bnNA 09A8
bnPA 09AA
bnPHA 09AB
bnBA 09AC
bnBHA 09AD
bnMA 09AE
bnYA 09AF
bnRA 09B0
bnLA 09B2
bnSHA 09B6
bnSSA 09B7
bnSA 09B8
bnHA 09B9

bnRAasamiya 09F0
bnWAasamiya 09F1

bnDDxA 09DC
bnDDHxA 09DD
bnYxA 09DF

bnAnusvara 0982
bnCandrabindu 0981
bnVisarga 0983
bnVirama 09CD
bnNukta 09BC
bnAvagraha 09BD

bnTAkhanda 09CE

bnZero 09E6
bnOne 09E7
bnTwo 09E8
bnThree 09E9
bnFour 09EA
bnFive 09EB
bnSix 09EC
bnSeven 09ED
bnEight 09EE
bnNine 09EF

bnAnji 0980

bnTaka 09F2
bnBangladeshitaka 09F3

bnNumeratorone 09F4
bnNumeratortwo 09F5
bnNumeratorthree 09F6
bnNumeratorfour 09F7
bnNumeratoroneless 09F8
bnDenominatorsixteen 09F9

bnIsshar 09FA

bnGanda 09FB

# Odia

odA 0B05
odAA 0B06
odI 0B07
odII 0B08
odU 0B09
odUU 0B0A
odvR 0B0B
odvRR 0B60
odvL 0B0C
odvLL 0B61
odE 0B0F
odAI 0B10
odO 0B13
odAU 0B14

odmAA 0B3E
odmI 0B3F
odmII 0B40
odmU 0B41
odmUU 0B42
odmvR 0B43
odmvRR 0B44
odmvL 0B62
odmvLL 0B63
odmE 0B47
odmAI 0B48
odmO 0B4B
odmAU 0B4C

odAIlengthmark 0B56
odAUlengthmark 0B57

odKA 0B15
odKHA 0B16
odGA 0B17
odGHA 0B18
odNGA 0B19
odCA 0B1A
odCHA 0B1B
odJA 0B1C
odJHA 0B1D
odNYA 0B1E
odTTA 0B1F
odTTHA 0B20
odDDA 0B21
odDDHA 0B22
odNNA 0B23
odTA 0B24
odTHA 0B25
odDA 0B26
odDHA 0B27
odNA 0B28
odPA 0B2A
odPHA 0B2B
odBA 0B2C
odBHA 0B2D
odMA 0B2E
odYA 0B2F
odRA 0B30
odLA 0B32
odVA 0B35
odSHA 0B36
odSSA 0B37
odSA 0B38
odHA 0B39

odYYA 0B5F
odLLA 0B33

odWA 0B71

odDDxA 0B5C
odDDHxA 0B5D

odAnusvara 0B02
odCandrabindu 0B01
odVisarga 0B03
odVirama 0B4D
odNukta 0B3C
odAvagraha 0B3D

odZero 0B66
odOne 0B67
odTwo 0B68
odThree 0B69
odFour 0B6A
odFive 0B6B
odSix 0B6C
odSeven 0B6D
odEight 0B6E
odNine 0B6F

odIsshar 0B70

odOnequarter 0B72
odOnehalf 0B73
odThreequarters 0B74
odOnesixteenth 0B75
odOneeighth 0B76
odThreesixteenths 0B77

# Telugu

tlA 0C05
tlAA 0C06
tlI 0C07
tlII 0C08
tlU 0C09
tlUU 0C0A
tlvR 0C0B
tlvRR 0C60
tlvL 0C0C
tlvLL 0C61
tlE 0C0E
tlEE 0C0F
tlAI 0C10
tlO 0C12
tlOO 0C13
tlAU 0C14

tlmAA 0C3E
tlmI 0C3F
tlmII 0C40
tlmU 0C41
tlmUU 0C42
tlmvR 0C43
tlmvRR 0C44
tlmvL 0C62
tlmvLL 0C63
tlmE 0C46
tlmEE 0C47
tlmAI 0C48
tlmO 0C4A
tlmOO 0C4B
tlmAU 0C4C

tlLengthmark 0C55
tlAIlengthmark 0C56

tlKA 0C15
tlKHA 0C16
tlGA 0C17
tlGHA 0C18
tlNGA 0C19
tlCA 0C1A
tlCHA 0C1B
tlJA 0C1C
tlJHA 0C1D
tlNYA 0C1E
tlTTA 0C1F
tlTTHA 0C20
tlDDA 0C21
tlDDHA 0C22
tlNNA 0C23
tlTA 0C24
tlTHA 0C25
tlDA 0C26
tlDHA 0C27
tlNA 0C28
tlPA 0C2A
tlPHA 0C2B
tlBA 0C2C
tlBHA 0C2D
tlMA 0C2E
tlYA 0C2F
tlRA 0C30
tlLA 0C32
tlVA 0C35
tlSHA 0C36
tlSSA 0C37
tlSA 0C38
tlHA 0C39

tlRRA 0C31
tlRRRA 0C5A
tlLLA 0C33
tlLLLA 0C34

tlTSA 0C58
tlDZA 0C59

tlAnusvara 0C02
tlArasunna 0C01
tlCandrabindu 0C00
tlVisarga 0C03
tlVirama 0C4D
tlAvagraha 0C3D

tlZero 0C66
tlOne 0C67
tlTwo 0C68
tlThree 0C69
tlFour 0C6A
tlFive 0C6B
tlSix 0C6C
tlSeven 0C6D
tlEight 0C6E
tlNine 0C6F

tlZeroforodd 0C78
tlOneforodd 0C79
tlTwoforodd 0C7A
tlThreeforodd 0C7B
tlOneforeven 0C7C
tlTwoforeven 0C7D
tlThreeforeven 0C7E

tlTuumu 0C7F

# Kannada

knA 0C85
knAA 0C86
knI 0C87
knII 0C88
knU 0C89
knUU 0C8A
knvR 0C8B
knvRR 0CE0
knvL 0C8C
knvLL 0CE1
knE 0C8E
knEE 0C8F
knAI 0C90
knO 0C92
knOO 0C93
knAU 0C94

knmAA 0CBE
knmI 0CBF
knmII 0CC0
knmU 0CC1
knmUU 0CC2
knmvR 0CC3
knmvRR 0CC4
knmvL 0CE2
knmvLL 0CE3
knmE 0CC6
knmEE 0CC7
knmAI 0CC8
knmO 0CCA
knmOO 0CCB
knmAU 0CCC

knLengthmark 0CD5
knAIlengthmark 0CD6

knKA 0C95
knKHA 0C96
knGA 0C97
knGHA 0C98
knNGA 0C99
knCA 0C9A
knCHA 0C9B
knJA 0C9C
knJHA 0C9D
knNYA 0C9E
knTTA 0C9F
knTTHA 0CA0
knDDA 0CA1
knDDHA 0CA2
knNNA 0CA3
knTA 0CA4
knTHA 0CA5
knDA 0CA6
knDHA 0CA7
knNA 0CA8
knPA 0CAA
knPHA 0CAB
knBA 0CAC
knBHA 0CAD
knMA 0CAE
knYA 0CAF
knRA 0CB0
knLA 0CB2
knVA 0CB5
knSHA 0CB6
knSSA 0CB7
knSA 0CB8
knHA 0CB9

knRRA 0CB1
knLLA 0CB3
knLLLA 0CDE

knAnusvara 0C82
knCandrabindu 0C81
knVisarga 0C83
knVirama 0CCD
knNukta 0CBC
knAvagraha 0CBD

knJihvamuliya 0CF1
knUpadhmaniya 0CF2

knZero 0CE6
knOne 0CE7
knTwo 0CE8
knThree 0CE9
knFour 0CEA
knFive 0CEB
knSix 0CEC
knSeven 0CED
knEight 0CEE
knNine 0CEF

# Malayalam

mlA 0D05
mlAA 0D06
mlI 0D07
mlII 0D08
mlU 0D09
mlUU 0D0A
mlvR 0D0B
mlvRR 0D60
mlvL 0D0C
mlvLL 0D61
mlE 0D0E
mlEE 0D0F
mlAI 0D10
mlO 0D12
mlOO 0D13
mlAU 0D14

mlmAA 0D3E
mlmI 0D3F
mlmII 0D40
mlmU 0D41
mlmUU 0D42
mlmvR 0D43
mlmvRR 0D44
mlmvL 0D62
mlmvLL 0D63
mlmE 0D46
mlmEE 0D47
mlmAI 0D48
mlmO 0D4A
mlmOO 0D4B
mlmAU 0D4C

mlAUlengthmark 0D57

mlKA 0D15
mlKHA 0D16
mlGA 0D17
mlGHA 0D18
mlNGA 0D19
mlCA 0D1A
mlCHA 0D1B
mlJA 0D1C
mlJHA 0D1D
mlNYA 0D1E
mlTTA 0D1F
mlTTHA 0D20
mlDDA 0D21
mlDDHA 0D22
mlNNA 0D23
mlTA 0D24
mlTHA 0D25
mlDA 0D26
mlDHA 0D27
mlNA 0D28
mlPA 0D2A
mlPHA 0D2B
mlBA 0D2C
mlBHA 0D2D
mlMA 0D2E
mlYA 0D2F
mlRA 0D30
mlLA 0D32
mlVA 0D35
mlSHA 0D36
mlSSA 0D37
mlSA 0D38
mlHA 0D39

mlNNNA 0D29
mlTTTA 0D3A
mlRRA 0D31
mlLLA 0D33
mlLLLA 0D34

mlKchillu 0D7F
mlNNchillu 0D7A
mlNchillu 0D7B
mlRRchillu 0D7C
mlLchillu 0D7D
mlLLchillu 0D7E

mlAnusvara 0D02
mlCandrabindu 0D01
mlVisarga 0D03
mlVirama 0D4D
mlAvagraha 0D3D

mlDotreph 0D4E

mlZero 0D66
mlOne 0D67
mlTwo 0D68
mlThree 0D69
mlFour 0D6A
mlFive 0D6B
mlSix 0D6C
mlSeven 0D6D
mlEight 0D6E
mlNine 0D6F

mlTen 0D70
mlOnehundred 0D71
mlOnethousand 0D72

mlOnequarter 0D73
mlOnehalf 0D74
mlThreequarters 0D75

mlDatemark 0D79

mlIIarchaic 0D5F

# Tamil

tmA 0B85
tmAA 0B86
tmI 0B87
tmII 0B88
tmU 0B89
tmUU 0B8A
tmE 0B8E
tmEE 0B8F
tmAI 0B90
tmO 0B92
tmOO 0B93
tmAU 0B94

tmmAA 0BBE
tmmI 0BBF
tmmII 0BC0
tmmU 0BC1
tmmUU 0BC2
tmmE 0BC6
tmmEE 0BC7
tmmAI 0BC8
tmmO 0BCA
tmmOO 0BCB
tmmAU 0BCC

tmAUlengthmark 0BD7

tmKA 0B95
tmNGA 0B99
tmCA 0B9A
tmNYA 0B9E
tmTTA 0B9F
tmNNA 0BA3
tmTA 0BA4
