# Devanagari
#
0968;dvTwo;DEVANAGARI DIGIT TWO
0969;dvThree;DEVANAGARI DIGIT THREE
096A;dvFour;DEVANAGARI DIGIT FOUR
096B;dvFive;DEVANAGARI DIGIT FIVE
096C;dvSix;DEVANAGARI DIGIT SIX
096D;dvSeven;DEVANAGARI DIGIT SEVEN
096E;dvEight;DEVANAGARI DIGIT EIGHT
096F;dvNine;DEVANAGARI DIGIT NINE
#
0970;dvAbbreviationsign;DEVANAGARI ABBREVIATION SIGN
#
0964;danda;DEVANAGARI DANDA
0965;doubledanda;DEVANAGARI DOUBLE DANDA
#
# Gujarati
#
0A85;gjA;GUJARATI LETTER A
0A86;gjAA;GUJARATI LETTER AA
0A87;gjI;GUJARATI LETTER I
0A88;gjII;GUJARATI LETTER II
0A89;gjU;GUJARATI LETTER U
0A8A;gjUU;GUJARATI LETTER UU
0A8B;gjvR;GUJARATI LETTER VOCALIC R
0AE0;gjvRR;GUJARATI LETTER VOCALIC RR
0A8C;gjvL;GUJARATI LETTER VOCALIC L
0AE1;gjvLL;GUJARATI LETTER VOCALIC LL
0A8F;gjE;GUJARATI LETTER E
0A90;gjAI;GUJARATI LETTER AI
0A93;gjO;GUJARATI LETTER O
0A94;gjAU;GUJARATI LETTER AU
#
0A8D;gjEcandra;GUJARATI VOWEL CANDRA E
0A91;gjOcandra;GUJARATI VOWEL CANDRA O
#
0ABE;gjmAA;GUJARATI VOWEL SIGN AA
0ABF;gjmI;GUJARATI VOWEL SIGN I
0AC0;gjmII;GUJARATI VOWEL SIGN II
0AC1;gjmU;GUJARATI VOWEL SIGN U
0AC2;gjmUU;GUJARATI VOWEL SIGN UU
0AC3;gjmvR;GUJARATI VOWEL SIGN VOCALIC R
0AC4;gjmvRR;GUJARATI VOWEL SIGN VOCALIC RR
0AE2;gjmvL;GUJARATI VOWEL SIGN VOCALIC L
0AE3;gjmvLL;GUJARATI VOWEL SIGN VOCALIC LL
0AC7;gjmE;GUJARATI VOWEL SIGN E
0AC8;gjmAI;GUJARATI VOWEL SIGN AI
0ACB;gjmO;GUJARATI VOWEL SIGN O
0ACC;gjmAU;GUJARATI VOWEL SIGN AU
#
0AC5;gjmEcandra;GUJARATI VOWEL SIGN CANDRA E
0AC9;gjmOcandra;GUJARATI VOWEL SIGN CANDRA O
#
0A95;gjKA;GUJARATI LETTER KA
0A96;gjKHA;GUJARATI LETTER KHA
0A97;gjGA;GUJARATI LETTER GA
0A98;gjGHA;GUJARATI LETTER GHA
0A99;gjNGA;GUJARATI LETTER NGA
0A9A;gjCA;GUJARATI LETTER CA
0A9B;gjCHA;GUJARATI LETTER CHA
0A9C;gjJA;GUJARATI LETTER JA
0A9D;gjJHA;GUJARATI LETTER JHA
0A9E;gjNYA;GUJARATI LETTER NYA
0A9F;gjTTA;GUJARATI LETTER TTA
0AA0;gjTTHA;GUJARATI LETTER TTHA
0AA1;gjDDA;GUJARATI LETTER DDA
0AA2;gjDDHA;GUJARATI LETTER DDHA
0AA3;gjNNA;GUJARATI LETTER NNA
0AA4;gjTA;GUJARATI LETTER TA
0AA5;gjTHA;GUJARATI LETTER THA
0AA6;gjDA;GUJARATI LETTER DA
0AA7;gjDHA;GUJARATI LETTER DHA
0AA8;gjNA;GUJARATI LETTER NA
0AAA;gjPA;GUJARATI LETTER PA
0AAB;gjPHA;GUJARATI LETTER PHA
0AAC;gjBA;GUJARATI LETTER BA
0AAD;gjBHA;GUJARATI LETTER BHA
0AAE;gjMA;GUJARATI LETTER MA
0AAF;gjYA;GUJARATI LETTER YA
0AB0;gjRA;GUJARATI LETTER RA
0AB2;gjLA;GUJARATI LETTER LA
0AB5;gjVA;GUJARATI LETTER VA
0AB6;gjSHA;GUJARATI LETTER SHA
0AB7;gjSSA;GUJARATI LETTER SSA
0AB8;gjSA;GUJARATI LETTER SA
0AB9;gjHA;GUJARATI LETTER HA
#
0AB3;gjLLA;GUJARATI LETTER LLA
#
0AF9;gjZHA;GUJARATI LETTER ZHA
#
0A82;gjAnusvara;GUJARATI SIGN ANUSVARA
0A81;gjCandrabindu;GUJARATI SIGN CANDRABINDU
0A83;gjVisarga;GUJARATI SIGN VISARGA
0ACD;gjVirama;GUJARATI SIGN VIRAMA
0ABC;gjNukta;GUJARATI SIGN NUKTA
0ABD;gjAvagraha;GUJARATI SIGN AVAGRAHA
#
0AD0;gjOm;GUJARATI OM
#
0AE6;gjZero;GUJARATI DIGIT ZERO
0AE7;gjOne;GUJARATI DIGIT ONE
0AE8;gjTwo;GUJARATI DIGIT TWO
0AE9;gjThree;GUJARATI DIGIT THREE
0AEA;gjFour;GUJARATI DIGIT FOUR
0AEB;gjFive;GUJARATI DIGIT FIVE
0AEC;gjSix;GUJARATI DIGIT SIX
0AED;gjSeven;GUJARATI DIGIT SEVEN
0AEE;gjEight;GUJARATI DIGIT EIGHT
0AEF;gjNine;GUJARATI DIGIT NINE
#
0AF0;gjAbbreviationsign;GUJARATI ABBREVIATION SIGN
0AF1;gjRupeesign;GUJARATI RUPEE SIGN
#
# Gurmukhi
#
0A05;grA;GURMUKHI LETTER A
0A06;grAA;GURMUKHI LETTER AA
0A07;grI;GURMUKHI LETTER I
0A08;grII;GURMUKHI LETTER II
0A09;grU;GURMUKHI LETTER U
0A0A;grUU;GURMUKHI LETTER UU
0A0F;grEE;GURMUKHI LETTER EE
0A10;grAI;GURMUKHI LETTER AI
0A13;grOO;GURMUKHI LETTER OO
0A14;grAU;GURMUKHI LETTER AU
#
0A72;grIri;GURMUKHI IRI
0A73;grUra;GURMUKHI URA
#
0A3E;grmAA;GURMUKHI VOWEL SIGN AA
0A3F;grmI;GURMUKHI VOWEL SIGN I
0A40;grmII;GURMUKHI VOWEL SIGN II
0A41;grmU;GURMUKHI VOWEL SIGN U
0A42;grmUU;GURMUKHI VOWEL SIGN UU
0A47;grmEE;GURMUKHI VOWEL SIGN EE
0A48;grmAI;GURMUKHI VOWEL SIGN AI
